original_path,current_path,action,reason,lines,sha256
R_dhs/36_neonatal_as_covariate.R,archive/2026-09-15-code-audit/R_dhs/36_neonatal_as_covariate.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,405,5b290c4aa624ab5c6d805887336d18931ffe7ec53b068094558888952b920024
R_dhs/37_burden_trend_brms.R,archive/2026-09-15-code-audit/R_dhs/37_burden_trend_brms.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,206,f7f5bd9ae9cadefe23fd10527bce31f5204f0654c7eeca4554b477d99a1bacff
R_dhs/40_build_person_time.R,archive/2026-09-15-code-audit/R_dhs/40_build_person_time.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,269,f41195fcb7e820af7ff3716211e6a7e1190c2bb6d3499def8004b93c8ff6d2ff
R_dhs/41_extract_map_window_years.R,R_dhs/41_extract_map_window_years.R,retain_input_bridge,Only regional annual MAP snapshot producer used by CBH; extraction review pending.,98,1fefa35feafaf8ff038a4b43859865ab77dd83d70bdb453fb3c9b7cfa19e5e3f
R_dhs/42_person_time_models.R,archive/2026-09-15-code-audit/R_dhs/42_person_time_models.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,382,465be7a6a6808f1af273f66d372d30d52f68427942a6bc3d416c75f9a90d4373
R_dhs/43_person_time_brms.R,archive/2026-09-15-code-audit/R_dhs/43_person_time_brms.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,172,92674f474cf39a8ee6d8c608106b0dd374cf37ce77ffe4e662a868846c59d895
R_dhs/44_deaths_by_age.R,archive/2026-09-15-code-audit/R_dhs/44_deaths_by_age.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,115,114e1eb6a1295de15bca85fd2173ab2983952a64bf96cbbcbea00a983eaa723a
R_dhs/45_person_time_data_and_curves.R,archive/2026-09-15-code-audit/R_dhs/45_person_time_data_and_curves.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,87,6669a657f06d59338c60a7fe79d393be54bc227e5fadd9b80e82a2082361ee01
R_dhs/46_person_time_covariate_forest.R,archive/2026-09-15-code-audit/R_dhs/46_person_time_covariate_forest.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,81,cb999780841256d83506a41f923a24a1c717332002101133f2bf45c4ffd4bccf
R_dhs/47_person_time_joint_model.R,archive/2026-09-15-code-audit/R_dhs/47_person_time_joint_model.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,187,16f010d1cd8aaedec6aca5e1dffe78e22301576a253c247d660c6622d521698b
R_dhs/48_person_time_burden_nga_cod.R,archive/2026-09-15-code-audit/R_dhs/48_person_time_burden_nga_cod.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,310,3762c81c1dfa9f03a79373ee9eb25250cc6ff25f6f06d5412fca1ddadc39f4db
R_dhs/49_person_time_burden_ssa.R,archive/2026-09-15-code-audit/R_dhs/49_person_time_burden_ssa.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,550,0e33c3aee53d687c453a27920155a9766efe25856ca151025484c9e58851d0d3
R_dhs/50_age_specific_attributable.R,archive/2026-09-15-code-audit/R_dhs/50_age_specific_attributable.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,192,46f146fb2a8e2c592396383e1bdab42d17e8bd5d7839256c9d5b744b1025a4c5
R_dhs/51_snow_polygon_prevalence.R,R_dhs/51_snow_polygon_prevalence.R,retain_input_bridge,Active supplementary annual Snow overlay producer.,474,de02f44ba81c1753b898d80af9bcecc47a03db6b5060027b4e04604bed57c583
R_dhs/run_all.R,archive/2026-09-15-code-audit/R_dhs/run_all.R,replace_entry_point,Superseded orchestration/report selection; preserve original and replace with explicit current-plan routing.,189,e1dd7b3b1be70294d61dd300e932fbf68c3cf49a2ca8b2f8a7ea141210f3e5c2
R_dhs/specifications/adebayo_2005_mgcv.R,archive/2026-09-15-code-audit/R_dhs/specifications/adebayo_2005_mgcv.R,archive,Adebayo alternative specification is a historical reference; the selected model uses the Burstein-style seven-band CBH design.,112,644c789f185227ec6b5473b5a5378b2d2e015891888426038f38272c30f87ac0
run_all.R,archive/2026-09-15-code-audit/run_all.R,replace_entry_point,Superseded orchestration/report selection; preserve original and replace with explicit current-plan routing.,18,dec2dff632677ca690e95285d40a222b1ed5eab45d476aeaf0aab60a29e449e3
tests/test_region_match.R,tests/test_region_match.R,retain_active,Retained synthetic tests of geographic helpers used by input bridges.,213,0ccb1e2937a0e2b4422ddd08e6008c282c2985982474495f275e83bcea058a95
tests/test_rkey.R,tests/test_rkey.R,retain_active,Retained synthetic tests of geographic helpers used by input bridges.,107,22c222412aa33c470d69e8ab4516f440d41dee657fd26c920782470a52a8fc06
results/dhs_rebuild/covariate_audit/apply_label_classes.R,archive/2026-09-15-code-audit/results/dhs_rebuild/covariate_audit/apply_label_classes.R,archive,One-off WASH audit or six-band refit; excluded from primary adjustment and superseded by retained StatCompiler/input audit documentation.,58,4d60e52241da2e6242dd0d1434909a1cdf6d184219f4074ac02ea8ccfabeec10
results/dhs_rebuild/covariate_audit/audit_household_labels.R,archive/2026-09-15-code-audit/results/dhs_rebuild/covariate_audit/audit_household_labels.R,archive,One-off WASH audit or six-band refit; excluded from primary adjustment and superseded by retained StatCompiler/input audit documentation.,85,41d18e714b7dd5b6f9a2601e3db54954b0ce870e8864f399cba348ff61f2c56c
results/dhs_rebuild/covariate_audit/fetch_statcompiler_wash.R,archive/2026-09-15-code-audit/results/dhs_rebuild/covariate_audit/fetch_statcompiler_wash.R,archive,One-off WASH audit or six-band refit; excluded from primary adjustment and superseded by retained StatCompiler/input audit documentation.,18,1fd1727d98d612b882006788e3330ff532b67765aa1181100c5a4b3bda6ee3cc
results/dhs_rebuild/covariate_audit/wash_sensitivity_refit.R,archive/2026-09-15-code-audit/results/dhs_rebuild/covariate_audit/wash_sensitivity_refit.R,archive,One-off WASH audit or six-band refit; excluded from primary adjustment and superseded by retained StatCompiler/input audit documentation.,57,fdcb692096907a31a51e18706b5a470c564e25958008db1e5411c152dca5282e
R_cbh/reporting/02_results_index.R,R_cbh/reporting/02_results_index.R,new_reporting_entry,"Explicit primary MAP gamma=2 artifact index, replacing the historical all-figure copier.",28,92a10b9d8c98e0da7aa0b70951340dbbb286cbb10eb8c504293bc1bf2439fc1b
